State/UT,Primary Only,Primary with Upper Primary,Primary with U. Primary& Sec.&Higher.Sec.,Upper Primary Only,Upper Primary With Sec.&Higher.Sec.,Primary with U. Primary& Sec.,U. Primary withSec.,All Schools,Functional Girls' Tollet,Handwash Facility Near Tollet
A & N Islands,100.00,100.00,100.00,100.00,100.00,100.00,.,100.00,100.00,77.56
Andhra Pradesh,59.73,80.29,97.83,75.00,96.61,94.63,87.50,68.12,86.44,32.20
Arunachal Pradesh,94.06,98.96,100.00,100.00,100.00,99.53,97.37,96.07,90.54,19.66
Assam,53.91,69.97,92.42,44.52,75.86,84.85,68.82,53.92,89.76,40.28
Bihar,58.38,86.55,88.15,85.27,93.98,89.25,74.39,71.23,86.47,29.30
Chandigarh,100.00,100.00,100.00,.,100.00,100.00,.,100.00,100.00,100.00
Chhattisgarh,70.19,93.92,99.41,77.35,95.58,99.43,89.26,74.45,91.93,46.64
D & N Haveli,91.48,98.43,100.00,100.00,100.00,100.00,.,94.69,99.68,66.25
Daman & Diu,100.00,100.00,100.00,100.00,100.00,100.00,.,100.00,100.00,30.77
Delhi,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,99.26
Goa,87.42,90.91,100.00,100.00,100.00,99.39,99.53,90.94,99.03,83.01
Gujarat,97.09,99.02,100.00,99.86,100.00,100.00,95.14,98.54,99.97,48.54
Haryana,94.87,99.85,100.00,90.74,98.87,99.84,97.57,96.38,98.47,68.40
Himachal Pradesh,94.93,98.97,100.00,92.37,98.96,99.85,98.24,95.63,99.59,54.97
Jammu & Kashmir,53.18,77.25,97.16,81.75,97.85,92.05,94.53,66.94,89.11,31.09
Jharkhand,81.24,88.13,95.24,90.80,89.15,91.67,88.70,84.24,88.34,19.56
Karnataka,99.62,99.87,99.78,100.00,100.00,100.00,99.86,99.76,99.79,38.20
Kerala,91.94,97.71,99.86,97.85,100.00,99.54,99.73,95.21,98.76,68.70
Lakshadweep,100.00,100.00,100.00,100.00,100.00,.,,100.00,100.00,93.02
Madhya Pradesh,81.24,98.66,99.83,79.98,99.51,99.72,100.00,83.88,90.40,41.07
Maharashtra,98.52,99.52,100.00,95.10,99.59,99.66,99.27,98.96,98.61,79.90
Manipur,91.11,99.77,100.00,100.00,100.00,99.71,98.68,94.44,92.79,32.67
Meghalaya,59.90,70.20,100.00,59.18,95.83,88.17,82.88,60.48,77.80,11.53
Mizoram,97.23,89.31,,99.11,,.,,96.90,82.30,13.85
Nagaland,92.58,98.45,100.00,83.12,100.00,98.11,97.20,94.77,92.60,16.58
Odisha,74.86,81.07,93.69,71.99,90.38,85.96,75.90,76.82,83.76,28.49
Puducherry,99.64,100.00,100.00,.,100.00,100.00,100.00,99.86,100.00,46.33
Punjab,95.82,98.30,99.84,96.67,99.32,99.59,98.58,97.21,98.32,81.70
Rajasthan,94.49,98.92,98.82,99.06,98.05,98.36,97.96,97.09,96.98,51.48
Sikkim,96.39,98.49,98.73,100.00,100.00,98.52,100.00,97.40,96.94,37.27
Tamil Nadu,98.60,99.66,99.98,99.11,99.89,.,,99.05,99.90,50.82
Telangana,66.78,80.60,98.98,87.50,95.94,87.10,85.12,73.86,77.14,27.81
Tripura,99.07,100.00,99.08,100.00,100.00,100.00,100.00,99.44,91.19,30.84
Uttar Pradesh,97.79,99.48,99.80,97.97,99.65,99.66,99.62,98.02,94.15,39.74
Uttarakhand,93.19,97.24,99.56,95.31,98.23,99.32,96.27,94.33,93.13,43.56
West Bengal,85.65,80.14,86.91,86.63,99.54,94.43,98.49,86.87,87.31,50.39
All States,83.47,93.56,98.98,85.92,98.89,96.53,89.56,87.08,92.54,44.69